region,value
alaska,28
alabama,1896
arkansas,600
arizona,4492
california,11147
colorado,1896
connecticut,4453
district of columbia,597
delaware,593
florida,9345
georgia,4669
hawaii,40
iowa,973
idaho,269
illinois,7937
indiana,3128
kansas,402
kentucky,810
louisiana,4430
massachusetts,8813
maryland,3639
maine,127
michigan,6586
minnesota,1752
missouri,1346
mississippi,2080
montana,82
north carolina,2343
north dakota,125
nebraska,361
new hampshire,423
new jersey,15876
new mexico,711
nevada,1097
new york,8898
ohio,3824
oklahoma,657
oregon,386
pennsylvania,7465
rhode island,1021
south carolina,2260
south dakota,152
tennessee,1345
texas,9840
utah,362
virginia,2382
vermont,58
washington,1766
wisconsin,1045
west virginia,160
wyoming,30
