region,value
alaska,4
alabama,39
arkansas,20
arizona,63
california,28
colorado,33
connecticut,125
district of columbia,85
delaware,61
florida,44
georgia,44
hawaii,3
iowa,31
idaho,15
illinois,62
indiana,47
kansas,14
kentucky,18
louisiana,95
massachusetts,128
maryland,60
maine,9
michigan,66
minnesota,31
missouri,22
mississippi,70
montana,8
north carolina,23
north dakota,16
nebraska,19
new hampshire,31
new jersey,178
new mexico,34
nevada,36
new york,80
ohio,33
oklahoma,17
oregon,9
pennsylvania,58
rhode island,97
south carolina,44
south dakota,17
tennessee,20
texas,34
utah,11
virginia,28
vermont,9
washington,23
wisconsin,18
west virginia,9
wyoming,5
