region,value
district of columbia,11212
alabama,96.9221
alaska,1.2863
arizona,64.9549
arkansas,58.403
california,256.3728
colorado,56.4012
connecticut,735.8695
delaware,504.3073
florida,410.1259
georgia,186.6726
hawaii,219.9424
idaho,22.097
illinois,228.0246
indiana,188.2809
iowa,56.9284
kansas,35.5968
kentucky,113.9566
louisiana,107.5174
maine,43.6336
maryland,626.6735
massachusetts,894.4359
michigan,177.665
minnesota,71.5922
mississippi,63.7056
missouri,89.7453
montana,7.4668
nebraska,25.4161
nevada,28.5993
new hampshire,153.161
new jersey,1215.1985
new mexico,17.285
new york,412.5218
north carolina,218.271
north dakota,11.0393
ohio,287.504
oklahoma,57.6546
oregon,44.8086
pennsylvania,286.5454
rhode island,1021.4313
south carolina,173.3176
south dakota,11.9116
tennessee,167.2749
texas,112.8204
utah,39.943
vermont,68.1416
virginia,218.4404
washington,117.3273
west virginia,73.9691
wisconsin,108.0496
wyoming,5.84
