region,value
district of columbia,705749
alabama,4908620
alaska,734002
arizona,7378490
arkansas,3039000
california,39937500
colorado,5845530
connecticut,3563080
delaware,982895
florida,21993000
georgia,10736100
hawaii,1412690
idaho,1826160
illinois,12659700
indiana,6745350
iowa,3179850
kansas,2910360
kentucky,4499690
louisiana,4645180
maine,1345790
maryland,6083120
massachusetts,6976600
michigan,10045000
minnesota,5700670
mississippi,2989260
missouri,6169270
montana,1086760
nebraska,1952570
nevada,3139660
new hampshire,1371250
new jersey,8936570
new mexico,2096640
new york,19440500
north carolina,10611900
north dakota,761723
ohio,11747700
oklahoma,3954820
oregon,4301090
pennsylvania,12820900
rhode island,1056160
south carolina,5210100
south dakota,903027
tennessee,6897580
texas,29472300
utah,3282120
vermont,628061
virginia,8626210
washington,7797100
west virginia,1778070
wisconsin,5851750
wyoming,567025
