State,Density,Population,Land_Area
District of Columbia,11212,705749,69
Alabama,96.9221,4908620,50645
Alaska,1.2863,734002,570641
Arizona,64.9549,7378490,113594
Arkansas,58.403,3039000,52035
California,256.3728,39937500,155779
Colorado,56.4012,5845530,103642
Connecticut,735.8695,3563080,4842
Delaware,504.3073,982895,1949
Florida,410.1259,21993000,53625
Georgia,186.6726,10736100,57513
Hawaii,219.9424,1412690,6423
Idaho,22.097,1826160,82643
Illinois,228.0246,12659700,55519
Indiana,188.2809,6745350,35826
Iowa,56.9284,3179850,55857
Kansas,35.5968,2910360,81759
Kentucky,113.9566,4499690,39486
Louisiana,107.5174,4645180,43204
Maine,43.6336,1345790,30843
Maryland,626.6735,6083120,9707
Massachusetts,894.4359,6976600,7800
Michigan,177.665,10045000,56539
Minnesota,71.5922,5700670,79627
Mississippi,63.7056,2989260,46923
Missouri,89.7453,6169270,68742
Montana,7.4668,1086760,145546
Nebraska,25.4161,1952570,76824
Nevada,28.5993,3139660,109781
New Hampshire,153.161,1371250,8953
New Jersey,1215.1985,8936570,7354
New Mexico,17.285,2096640,121298
New York,412.5218,19440500,47126
North Carolina,218.271,10611900,48618
North Dakota,11.0393,761723,69001
Ohio,287.504,11747700,40861
Oklahoma,57.6546,3954820,68595
Oregon,44.8086,4301090,95988
Pennsylvania,286.5454,12820900,44743
Rhode Island,1021.4313,1056160,1034
South Carolina,173.3176,5210100,30061
South Dakota,11.9116,903027,75811
Tennessee,167.2749,6897580,41235
Texas,112.8204,29472300,261232
Utah,39.943,3282120,82170
Vermont,68.1416,628061,9217
Virginia,218.4404,8626210,39490
Washington,117.3273,7797100,66456
West Virginia,73.9691,1778070,24038
Wisconsin,108.0496,5851750,54158
Wyoming,5.84,567025,97093
